Item,ID,Name,Type,SKU,Options,Inventory Tracking,Current Stock,Low Stock,Price,Cost Price,Retail Price,Sale Price,Brand ID,Channels,Categories,Description,Custom Fields,Page Title,Product URL,Meta Description,Search Keywords,Meta Keywords,Bin Picking Number,UPC/EAN,Global Trade Number,Manufacturer Part Number,Free Shipping,Fixed Shipping Cost,Weight,Width,Height,Depth,Is Visible,Is Featured,Warranty,Tax Class,Product Condition,Show Product Condition,Sort Order,Variant Image URL,Internal Image URL (Export),Image URL (Import),Image Description,Image is Thumbnail,Image Sort Order,YouTube ID,Video Title,Video Description,Video Sort Order
Product,66079,Masuri C Line Batting Gloves-YYSTW,physical,MASCLBG-YYSTW,,none,0,0,55,0,0,0,,1,307,"From THE cricket protection specialist - Masuri - this batting glove features WRIST BAR from the new Masuri Applied Technology features.

Made using advanced Masuri PRO FOAM technology this product offers far superior protection to its rivals. Also includes sheepskin palm, half leather, half mesh (two piece) thumb and inside towel lining.

A split finger multi flex construction providing a core level of protection and a practical protection solution.

• PRO FOAMS - a combination of graded foams that increases impact absorption. Different combinations ensure the optimum balance of protection and flexibility in high risk impact areas. Independently proven to provide 30% more impact absorption than commonly used foams.
• WRIST BAR - a reinforced PRO FOAM that protects the radius and ulna bones in the wrist. Integrated into the existing wrist band of the glove ensuring that playing style is unaffected.
• Strong, durable and breathable sheepskin palm offering incredible grip and feel on the bat.
• Breathable, double-sided elasticated wrist band offering comfortable and ergonomic fit to the player.
• Designed by Masuri, THE cricket protection specialists and experts in impact absorbing technology.
","[{""id"":251985,""name"":""HP SKU"",""value"":""MASCLBG""},{""id"":251986,""name"":""Front Panel"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/62ep7ND9yakXpRj\/download\/No%20Logo%20Needed.pdf""},{""id"":251987,""name"":""Second Image"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/CwbbntMXqZSq3Cw\/download\/Glove%20sets%20-%20CLINE.png""},{""id"":251988,""name"":""Product Type"",""value"":""Equipment""}]",,/find-your-club/ynystawe-cc/masuri-c-line-batting-gloves-yystw/,,Ynystawe CC,,,,,,FALSE,0,1,0,0,0,TRUE,FALSE,,7,New,FALSE,77,,,,,,,,,,
Product,66081,Masuri E Line Junior Batting Gloves-YYSTW,physical,MASELBGJ-YYSTW,,none,0,0,55,0,0,0,,1,307,"From THE cricket protection specialist - Masuri - this batting glove features WRIST BAR from the new Masuri Applied Technology features.

Made using advanced Masuri PRO FOAM technology this product offers far superior protection to its rivals. Also includes sheepskin palm, half leather, half mesh (two piece) thumb and inside towel lining.

A split finger multi flex construction providing a core level of protection and a practical protection solution.

• PRO FOAMS - a combination of graded foams that increases impact absorption. Different combinations ensure the optimum balance of protection and flexibility in high risk impact areas. Independently proven to provide 30% more impact absorption than commonly used foams.
• WRIST BAR - a reinforced PRO FOAM that protects the radius and ulna bones in the wrist. Integrated into the existing wrist band of the glove ensuring that playing style is unaffected.
• Strong, durable and breathable sheepskin palm offering incredible grip and feel on the bat.
• Breathable, double-sided elasticated wrist band offering comfortable and ergonomic fit to the player.
• Designed by Masuri, THE cricket protection specialists and experts in impact absorbing technology.","[{""id"":251993,""name"":""HP SKU"",""value"":""MASELBGJ""},{""id"":251994,""name"":""Front Panel"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/62ep7ND9yakXpRj\/download\/No%20Logo%20Needed.pdf""},{""id"":251995,""name"":""Second Image"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/n4tgNrHKYtrCr5a\/download\/Glove%20sets%20-%20ELINE%20Jr.png""},{""id"":251996,""name"":""Product Type"",""value"":""Equipment""}]",,/find-your-club/ynystawe-cc/masuri-e-line-junior-batting-gloves-yystw/,,Ynystawe CC,,,,,,FALSE,0,1,0,0,0,TRUE,FALSE,,7,New,FALSE,78,,,,,,,,,,
Product,66083,Masuri E Line Thigh Pad Combo-YYSTW,physical,MASELTP-YYSTW,,none,0,0,55,0,0,0,,1,307,"This thigh pad combo is constructed in line with the shape and comfort preferred by the highest level of professional players. Featuring the strongest and most slimline composite of ULTRA PRO FOAMS and comfort foams available to offer a combination of premium impact absorption whilst maintaining a streamlined silhouette.
","[{""id"":252001,""name"":""HP SKU"",""value"":""MASELTP""},{""id"":252002,""name"":""Front Panel"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/62ep7ND9yakXpRj\/download\/No%20Logo%20Needed.pdf""},{""id"":252003,""name"":""Second Image"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/8dzyFJp87GCSJcf\/download\/E%20Line%20Thigh%20Pad%20Combo%20Navy.jpg""},{""id"":252004,""name"":""Product Type"",""value"":""Equipment""}]",,/find-your-club/ynystawe-cc/masuri-e-line-thigh-pad-combo-yystw/,,Ynystawe CC,,,,,,FALSE,0,1,0,0,0,TRUE,FALSE,,7,New,FALSE,79,,,,,,,,,,
Product,66088,Masuri E Line Batting Pads-YYSTW,physical,MASELBP-YYSTW,,none,0,0,125,0,0,0,,1,307,"From THE cricket protection specialist - Masuri - this batting pad features advanced Masuri Applied Technologies including PRO FOAMS, KNEE BLADE ULTRA and KNEE WING offering ultimate protection to the player where it is needed most.

A modern take on the traditional construction this pad has greater impact absorption to the area a batsman needs it most - the knee.

The ‘Players Pad’ - this batting pad is built to the shape, specification and comfort demanded by the highest level of professional players. Featuring the strongest composite of PRO FOAM in the top hat, KNEE BLADE and shin bolster.

• PRO FOAMS - a combination of graded foams that increases impact absorption. Different combinations ensure the optimum balance of protection and flexibility in high risk impact areas.
• KNEE BLADE ULTRA – reinforced PRO FOAM positioned in front of the traditional knee bolster of the batting pad. Integrated within the pad, reducing the risk of a ball penetrating the knee roll without impacting running movement or comfort.
• KNEE WING – reinforced PRO FOAM that protects the vulnerable side impact zone of the knee joint. Strategically positioned on the front of the pad without having any negative impact on movement or comfort.
• Socket knee bolster for additional support to the knee.
• Padded straps and butterfly straps for additional comfort and secure fit.
","[{""id"":252021,""name"":""HP SKU"",""value"":""MASELBP""},{""id"":252022,""name"":""Front Panel"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/62ep7ND9yakXpRj\/download\/No%20Logo%20Needed.pdf""},{""id"":252023,""name"":""Second Image"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/6GoanmojzwTfcK2\/download\/Pad%20sets%20-%20ELINE.png""},{""id"":252024,""name"":""Product Type"",""value"":""Equipment""}]",,/find-your-club/ynystawe-cc/masuri-e-line-batting-pads-yystw/,,Ynystawe CC,,,,,,FALSE,0,2,0,0,0,TRUE,FALSE,,7,New,FALSE,82,,,,,,,,,,
Product,66089,Masuri T Line Batting Pads-YYSTW,physical,MASTLBP-YYSTW,,none,0,0,100,0,0,0,,1,307,"
From THE cricket protection specialist - Masuri - this batting pad features advanced Masuri Applied Technologies including PRO FOAMS, KNEE BLADE EXTRA and KNEE WING offering ultimate protection to the player where it is needed most.

A modern take on the traditional construction this pad has greater impact absorption to the area a batsman needs it most - the knee.

The most popular choice of batting pad within the range - this takes the traditional batting pad profile but advances its protective qualities by incorporating the KNEE BLADE EXTRA.

• PRO FOAMS - a combination of graded foams that increases impact absorption. Different combinations ensure the optimum balance of protection and flexibility in high risk impact areas.
• KNEE BLADE EXTRA – reinforced PRO FOAM positioned in front of the traditional knee bolster of the batting pad. Integrated within the pad, reducing the risk of a ball penetrating the knee roll without impacting running movement or comfort.
• KNEE WING – reinforced PRO FOAM that protects the vulnerable side impact zone of the knee joint. Strategically positioned on the front of the pad without having any negative impact on movement or comfort.
• Socket knee bolster for additional support to the knee.
• Padded straps and butterfly straps for additional comfort and secure fit.
","[{""id"":252025,""name"":""HP SKU"",""value"":""MASTLBP""},{""id"":252026,""name"":""Front Panel"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/62ep7ND9yakXpRj\/download\/No%20Logo%20Needed.pdf""},{""id"":252027,""name"":""Second Image"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/jsQcxK54KwWKGa6\/download\/Pad%20sets%20-%20TLINE.png""},{""id"":252028,""name"":""Product Type"",""value"":""Equipment""}]",,/find-your-club/ynystawe-cc/masuri-t-line-batting-pads-yystw/,,Ynystawe CC,,,,,,FALSE,0,2,0,0,0,TRUE,FALSE,,7,New,FALSE,83,,,,,,,,,,
Product,66090,Masuri C Line Batting Pads-YYSTW,physical,MASCLBP-YYSTW,,none,0,0,80,0,0,0,,1,307,"From THE cricket protection specialist - Masuri - this batting pad features advanced Masuri Applied Technologies including PRO FOAMS, KNEE BLADE STANDARD and KNEE WING offering ultimate protection to the player where it is needed most.

A modern take on the traditional construction this pad has greater impact absorption to the area a batsman needs it most - the knee.

Featuring a core level of protection, this batting pad most resembles the product currently available on the market today but features the construction, fit and applied technologies from the advanced models in the Masuri range.

• PRO FOAMS - a combination of graded foams that increases impact absorption. Different combinations ensure the optimum balance of protection and flexibility in high risk impact areas.
• KNEE BLADE STANDARD – reinforced PRO FOAM positioned in front of the traditional knee bolster of the batting pad. Integrated within the pad, reducing the risk of a ball penetrating the knee roll without impacting running movement or comfort.
• KNEE WING – reinforced PRO FOAM that protects the vulnerable side impact zone of the knee joint. Strategically positioned on the front of the pad without having any negative impact on movement or comfort.
• Socket knee bolster for additional support to the knee.
• Padded straps and butterfly straps for additional comfort and secure fit.","[{""id"":252029,""name"":""HP SKU"",""value"":""MASCLBP""},{""id"":252030,""name"":""Front Panel"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/62ep7ND9yakXpRj\/download\/No%20Logo%20Needed.pdf""},{""id"":252031,""name"":""Second Image"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/FcA5jtZfwo77ZgX\/download\/Pad%20sets%20-%20CLINE.png""},{""id"":252032,""name"":""Product Type"",""value"":""Equipment""}]",,/find-your-club/ynystawe-cc/masuri-c-line-batting-pads-yystw/,,Ynystawe CC,,,,,,FALSE,0,2,0,0,0,TRUE,FALSE,,7,New,FALSE,84,,,,,,,,,,
Product,66091,Masuri E Line Junior Batting Pads-YYSTW,physical,MASELBPJ-YYSTW,,none,0,0,50,0,0,0,,1,307,"From THE cricket protection specialist - Masuri - this batting pad features advanced Masuri Applied Technologies including PRO FOAMS, KNEE BLADE STANDARD and KNEE WING offering ultimate protection to the player where it is needed most.

A modern take on the traditional construction this pad has greater impact absorption to the area a batsman needs it most - the knee.

Featuring a core level of protection, this batting pad most resembles the product currently available on the market today but features the construction, fit and applied technologies from the advanced models in the Masuri range.

• PRO FOAMS - a combination of graded foams that increases impact absorption. Different combinations ensure the optimum balance of protection and flexibility in high risk impact areas.
• KNEE BLADE STANDARD – reinforced PRO FOAM positioned in front of the traditional knee bolster of the batting pad. Integrated within the pad, reducing the risk of a ball penetrating the knee roll without impacting running movement or comfort.
• KNEE WING – reinforced PRO FOAM that protects the vulnerable side impact zone of the knee joint. Strategically positioned on the front of the pad without having any negative impact on movement or comfort.
• Socket knee bolster for additional support to the knee.
• Padded straps and butterfly straps for additional comfort and secure fit.","[{""id"":252033,""name"":""HP SKU"",""value"":""MASELBPJ""},{""id"":252034,""name"":""Front Panel"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/62ep7ND9yakXpRj\/download\/No%20Logo%20Needed.pdf""},{""id"":252035,""name"":""Second Image"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/qzyFfigPM4xjDH8\/download\/Masuri%20Protection%20%E2%80%93%20Batting%20Pads%20Eline%20JR.jpg""},{""id"":252036,""name"":""Product Type"",""value"":""Equipment""}]",,/find-your-club/ynystawe-cc/masuri-e-line-junior-batting-pads-yystw/,,Ynystawe CC,,,,,,FALSE,0,2,0,0,0,TRUE,FALSE,,7,New,FALSE,85,,,,,,,,,,
Product,66096,Mens Short Sleeve Cricket Shirt-NWRMC,physical,1KSP0046-NWRMC,,none,0,0,32,0,0,0,,1,430,"Playing shirt with 3 button placket and self fabric collar. Raglan open cuff sleeve for comfort and range of movement. The moisture management fabric transports moisture from your skin keeping you dry, cool and comfortable. Masuri logo on right chest.

All logos on playing garments are sublimated. It is a modern technology and is seen on a lot of the professional shirts - a lot of white kit and nearly 100% of coloured kit. Advantages of sublimation include; exact logo representation, excellent wash durability (100's of washes at 90 degrees), no peeling/cracking/colour running and no additional weight added to the garment. 

<strong>COMPOSITION:</strong> 100% Polyester Micromesh (165gsm)","[{""id"":252073,""name"":""HP SKU"",""value"":""1KSP0046S""},{""id"":252074,""name"":""Left Sleeve"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/ae3RD5SqAYY3Li3\/download\/NWRMC_JMNS%28sl%29_NONSAT.pdf""},{""id"":252075,""name"":""Front Panel"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/SXam6KGprNEFP5w\/download\/NWRMC_FP_cream_NONSAT.pdf""},{""id"":252076,""name"":""X Axis Position"",""value"":""23.37""},{""id"":252077,""name"":""Y Axis Position"",""value"":""10.1983""},{""id"":252078,""name"":""Hex Text Colour"",""value"":""#000000""},{""id"":252079,""name"":""Second Image"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/GkBK7rBWNEzLAr7\/download\/MCR0046%20Short%20Sleeve%20Playing%20Shirt%20back.jpg""},{""id"":252080,""name"":""Product Type"",""value"":""Playing Kit""}]",,/find-your-club/newark-ransome-marles-cc/mens-short-sleeve-cricket-shirt-nwrmc/,,Newark Ransome & Marles CC,,,,,,FALSE,0,0.3,0,0,0,TRUE,FALSE,,7,New,FALSE,1,,,,,,,,,,
Product,66098,Women's Short Sleeve Cricket Shirt-NWRMC,physical,2KSP0006-NWRMC,,none,0,0,32,0,0,0,,1,430,"Playing shirt with 3 button placket and self fabric collar. Raglan open cuff sleeve for comfort and range of movement. The moisture management fabric transports moisture from your skin keeping you dry, cool and comfortable. Masuri logo on right chest.

All logos on playing garments are sublimated. It is a modern technology and is seen on a lot of the professional shirts - a lot of white kit and nearly 100% of coloured kit. Advantages of sublimation include; exact logo representation, excellent wash durability (100's of washes at 90 degrees), no peeling/cracking/colour running and no additional weight added to the garment. 

<strong>COMPOSITION:</strong> 100% Polyester Micromesh (165gsm)","[{""id"":252088,""name"":""HP SKU"",""value"":""2KSP0006S""},{""id"":252089,""name"":""Left Sleeve"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/ae3RD5SqAYY3Li3\/download\/NWRMC_JMNS%28sl%29_NONSAT.pdf""},{""id"":252090,""name"":""Front Panel"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/SXam6KGprNEFP5w\/download\/NWRMC_FP_cream_NONSAT.pdf""},{""id"":252091,""name"":""X Axis Position"",""value"":""23.37""},{""id"":252092,""name"":""Y Axis Position"",""value"":""10.1983""},{""id"":252093,""name"":""Hex Text Colour"",""value"":""#000000""},{""id"":252094,""name"":""Second Image"",""value"":""https:\/\/cloud.masuri.com\/index.php\/s\/zHEnwp9Tw3cgKf3\/download\/Coloured%20Ladies%20SS%20Shirt.jpg""},{""id"":252095,""name"":""Product Type"",""value"":""Playing Kit""}]",,/find-your-club/newark-ransome-marles-cc/womens-short-sleeve-cricket-shirt-nwrmc/,,Newark Ransome & Marles CC,,,,,,FALSE,0,0.3,0,0,0,TRUE,FALSE,,7,New,FALSE,2,,,,,,,,,,
